class_group,gender,YOB,regret_choosing_bi,drop_bi_now,motivator,read_content_before_lecture,anticipate_test_questions,answer_rhetorical_questions,find_terms_I_do_not_know,copy_new_terms_in_reading_notebook,take_quizzes_and_use_results,reorganise_course_outline,write_down_important_points,space_out_revision,studying_in_study_group,schedule_appointments,goal_oriented,spaced_repetition,testing_and_active_recall,interleaving,categorizing,retrospective_timetable,cornell_notes,sq3r,commute,study_time,repeats_since_Y1,paid_tuition,free_tuition,extra_curricular,sports_extra_curricular,exercise_per_week,meditate,pray,internet,laptop,family_relationships,friendships,romantic_relationships,spiritual_wellnes,financial_wellness,health,day_out,night_out,alcohol_or_narcotics,mentor,mentor_meetings,A - 1. I am enjoying the subject,A - 2. Classes start and end on time,"A - 3. The learning environment is participative, involves learning by doing and is group-based",A - 4. The subject content is delivered according to the course outline and meets my expectations,A - 5. The topics are clear and logically developed,A - 6. I am developing my oral and writing skills,A - 7. I am developing my reflective and critical reasoning skills,A - 8. The assessment methods are assisting me to learn,A - 9. I receive relevant feedback,A - 10. I read the recommended readings and notes,A - 11. I use the eLearning material posted,B - 1. Concept 1 of 6: Principles of Business Intelligence and the DataOps Philosophy,B - 2. Concept 3 of 6: Linear Algorithms for Predictive Analytics,C - 2. Quizzes at the end of each concept,C - 3. Lab manuals that outline the steps to follow during the labs,C - 4. Required lab work submissions at the end of each lab manual that outline the activity to be done on your own,C - 5. Supplementary videos to watch,C - 6. Supplementary podcasts to listen to,C - 7. Supplementary content to read,C - 8. Lectures slides,C - 9. Lecture notes on some of the lecture slides,"C - 10. The quality of the lectures given (quality measured by the breadth (the full span of knowledge of a subject) and depth (the extent to which specific topics are focused upon, amplified, and explored) of learning - NOT quality measured by how fun/comical/lively the lectures are)",C - 11. The division of theory and practice such that most of the theory is done during the recorded online classes and most of the practice is done during the physical classes,C - 12. The recordings of online classes,"D - 1. 
Write two things you like about the teaching and learning in this unit so far.",D - 2. Write at least one recommendation to improve the teaching and learning in this unit (for the remaining weeks in the semester),Average Course Evaluation Rating,Average Level of Learning Attained Rating,Average Pedagogical Strategy Effectiveness Rating,Project: Section 1-4: (20%) x/10,Project: Section 5-11: (50%) x/10,Project: Section 12: (30%) x/5,Project: (10%): x/30 x 100 TOTAL,Quiz 1 on Concept 1 (Introduction) x/32,Quiz 3 on Concept 3 (Linear) x/15,Quiz 4 on Concept 4 (Non-Linear) x/22,Quiz 5 on Concept 5 (Dashboarding) x/10,Quizzes and  Bonus Marks (7%): x/79 x 100 TOTAL,Lab 1 - 2.c. - (Simple Linear Regression) x/5,Lab 2 - 2.e. -  (Linear Regression using Gradient Descent) x/5,Lab 3 - 2.g. - (Logistic Regression using Gradient Descent) x/5,Lab 4 - 2.h. - (Linear Discriminant Analysis) x/5,Lab 5 - Chart JS Dashboard Setup x/5,Lab Work (7%) x/25 x 100,CAT 1 (8%): x/38 x 100,CAT 2 (8%): x/100 x 100,"Attendance Waiver Granted: 1 = Yes, 0 = No",Absenteeism Percentage,Coursework TOTAL: x/40 (40%),EXAM: x/60 (60%),TOTAL = Coursework TOTAL + EXAM (100%),GRADE
B,1,2002,0,0,0,2,5,5,5,5,4,5,5,3,1,1,0,3,4,4,4,3,4,4,3,1,0,0,0,0,0,2,1,3,1,1,4,3,0,4,2,4,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,4,1.) I like that the teacher makes sure that all students understand before he moves on from a particular topic.  2.) I like that all questions from the students are perceived as valid and all are well answered.,Maybe the physical classes could have more teaching because teaching online and physically is not the same.,5,4.5,4.7273,10,9,5,96,19.02,11,17.5,6.5,68.37,5,4.55,4.85,4.85,5,97,84.21,72,0,15.38,33.67,42,75.67,A
A,1,2002,0,0,1,3,4,3,5,5,5,5,5,5,3,5,1,3,3,3,3,3,3,3,4,1,0,0,0,0,0,0,0,3,0,1,3,3,0,3,2,5,0,0,0,1,1,4,3,4,4,4,4,4,4,4,4,4,1,3,4,3,4,3,4,3,3,4,4,4,3,the Labs and the lectures,reduce the amount of coursework. ,3.9091,2,3.5455,6,5.4,0,45.6,26.17,8,10.75,6.33,64.87,5,5,4.85,1.85,0,66.8,86.84,40,0,11.11,23.92,48,71.92,A
C,0,2001,0,0,0,2,4,4,3,4,3,3,4,2,2,1,0,1,4,1,4,4,3,4,3,2,2,0,0,0,0,3,1,3,1,1,4,3,2,4,3,3,1,0,0,1,1,4,4,4,4,4,3,5,5,5,4,5,5,2,4,4,4,3,3,3,5,5,5,5,4,I really enjoy the teaching method the teacher uses   I like how the content is well explained ,"The notes and slides are too many, kindly maybe devide them into subtopics having 100+ slide makes someone mentally descouraged from the start, but fewer slides makes the task look managable ",4.2727,3.5,4.0909,9,7,0,64,16.32,10,9.58,3.17,49.45,4,2.15,2.85,2.85,5,67.4,56.57,62,0,11.11,24.06,30,54.06,C
A,1,2001,0,0,1,3,4,5,4,4,5,5,4,5,5,3,0,2,3,2,4,4,4,4,4,1,0,0,0,0,0,1,1,1,1,1,5,5,0,4,3,4,1,0,0,0,0,5,5,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,1. How understanding the lecturer is   2. How the lectures are well conveyed to us,I am satisfied ,4.1818,5,4.9091,9,8,0,68,28.75,10,22,7.67,86.6,5,5,5,4.45,0,77.8,86.84,56,0,11.11,29.73,40,69.73,B
B,1,2003,0,0,1,3,5,3,4,4,5,5,5,4,1,3,0,3,4,3,3,3,2,3,1,2,0,0,1,0,0,1,0,1,1,1,5,3,3,3,5,5,1,1,0,1,1,4,5,4,5,5,4,4,4,5,4,5,4,4,4,5,5,3,4,4,5,5,5,5,5,Very in-depth content about each topic  Labs having a little assignment at the end help with understanding,n/A,4.4545,4,4.5455,6.8,9,4.8,82.4,14.5,7,15.5,6.67,55.27,5,5,5,5,5,100,76.31,68,0,3.7,30.65,38,68.65,B
C,0,2002,0,0,1,3,4,3,5,2,5,4,3,4,1,2,0,3,3,1,3,2,2,2,2,2,1,0,1,1,0,1,0,3,1,1,4,3,0,3,3,3,1,1,0,1,1,4,4,4,4,5,4,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,4,I Like the practical classes  The concepts are well explained,None,4.3636,4.5,4.7273,8.7,8,0,66.8,12.08,12,12.75,6.67,55.06,5,5,3.85,4.85,5,94.8,82.89,60,0,11.11,28.6,25,53.6,C
B,0,2001,0,0,1,3,4,4,3,3,4,3,4,3,4,2,0,3,3,3,2,1,1,1,4,1,1,0,0,0,0,0,0,3,1,1,4,3,0,3,3,3,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I like the labs and the comprehensive notes for each topic,I think we should have a review of concepts that are a bit tricky at the end of the semester,4,4,4,9,8.8,0,71.2,15.75,13,19.5,9,72.46,5,5,4.85,5,0,79.4,92.1,51,0,7.41,29.19,30,59.19,C
C,0,2002,0,0,1,3,2,3,4,3,5,2,3,3,2,1,0,3,3,2,2,1,2,2,2,2,0,0,1,1,0,1,0,3,1,1,5,4,0,3,3,5,1,0,0,0,0,5,5,4,5,5,2,4,5,4,5,5,5,4,5,4,5,4,3,3,5,5,5,4,5,I like that the lecturer does not rush through topics and always makes sure we understand.,"More explanation on how the theory concepts are applied to the labs, for clarification.",4.4545,4.5,4.3636,8.4,7,0,61.6,10.62,6,18,6,51.41,5,5,4.85,5,5,99.4,68.42,67,0,7.41,27.55,42,69.55,B
B,1,2000,0,0,1,3,5,5,5,5,5,4,5,4,5,2,0,3,4,2,3,2,3,3,4,2,3,0,1,1,0,2,1,3,1,1,3,4,0,5,5,5,1,0,0,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The lecturer is passionate on his job.  Content is well understood.,Videos can be used for learning.,5,5,5,5.8,7,0,51.2,16.15,10,17,6,62.21,5,5,4.85,5,5,99.4,53.94,51,0,0,24.82,38,62.82,B
A,0,2001,0,0,1,4,3,4,5,5,5,4,5,4,2,2,0,3,3,3,3,3,3,3,1,2,1,0,0,0,0,1,1,2,1,1,4,3,0,4,4,4,0,0,0,0,0,5,4,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,I like the way we are doing quizz after each topic it help me to learn  i like the way lab are being hundle ,Everything is okay. no comment so far,4.7273,4.5,4.8182,9,9,0,72,31.25,11,22,6.67,89.77,5,5,5,3.85,0,75.4,73.68,58,0,29.63,29.29,47,76.29,A
C,1,2001,0,0,1,4,4,4,5,3,4,4,4,4,4,4,1,3,3,3,4,4,3,3,3,4,0,0,0,1,1,2,1,3,1,1,5,5,4,4,4,4,1,1,0,1,0,4,4,4,4,4,4,5,4,5,5,5,5,4,5,4,5,5,5,4,5,5,5,4,4,The teaching is very detailed and interesting  ,More quizzes to enhance understanding ,4.3636,4.5,4.6364,9,8.6,0,70.4,11.08,7,12.42,7,47.46,5,5,4.85,5,5,99.4,93.42,45,0,0,28.39,34,62.39,B
C,1,2001,0,0,1,2,5,3,5,5,5,2,5,2,2,2,0,3,4,2,2,2,1,1,2,2,0,0,0,0,0,2,0,1,1,1,5,5,0,5,1,5,1,1,1,0,0,5,4,3,5,5,3,5,5,4,4,5,5,5,5,5,5,3,5,5,5,5,3,5,3,"1.) The quizes are extremely helpful in guiding us on what to expect in the CATs  2.) The labs are very well thought out. To be honest, best part about the unit!","The slides have a-lot of writing and is cumbersome to go through. If they could be in smaller and less wordy, we would appreciate. But so far the lecturer has been great and very understanding to us. Thank you!",4.3636,5,4.4545,9.3,8.2,0,70,18.25,11,14.92,4.33,61.39,5,5,4.85,4.85,5,98.8,72.36,71,0,0,29.68,32,61.68,B
C,0,2001,0,0,0,2,3,4,5,5,3,5,5,5,1,2,1,3,3,2,3,2,3,2,1,1,3,0,0,1,1,1,0,3,1,1,5,4,0,5,2,5,1,1,0,1,0,5,5,4,5,4,4,5,5,4,4,5,4,4,3,4,3,4,4,4,4,4,3,3,3,organization,none,4.5455,4,3.5455,4,4.2,2,40.8,7.5,4,5.67,8,31.86,3,4.85,4.85,5,5,90.8,50,71,0,22.22,22.34,31,53.34,C
C,1,2000,0,0,1,2,3,2,4,1,3,2,2,3,1,1,0,2,3,3,2,1,2,1,3,1,0,1,1,0,0,1,1,1,1,1,5,5,3,5,5,5,1,0,0,1,1,4,5,4,4,5,4,4,5,4,5,5,4,4,5,5,5,5,5,5,5,4,4,5,5,its practical and interesting ,all is well,4.4545,4,4.8182,0,0,0,0,13.17,11,10.17,4.17,48.74,5,4.85,4.85,5,5,98.8,84.21,70,0,14.81,22.66,33,55.66,C
C,0,2001,0,0,1,3,3,4,4,5,5,3,4,4,3,1,0,3,4,3,2,3,2,1,2,4,0,0,0,1,1,1,1,2,1,1,3,4,3,3,3,5,1,0,0,1,2,5,5,5,5,5,5,4,4,4,5,3,4,3,2,4,3,4,4,3,2,4,2,4,3,N/A,N/A,4.5455,3.5,3.1818,9,8.3,0,69.2,13.73,12,19.75,6,65.16,4,5,5,3.45,5,89.8,82.89,65,0,7.41,29.59,35,64.59,B
C,1,2002,0,0,1,3,4,4,5,2,2,2,4,3,4,1,0,3,4,3,3,2,1,2,2,1,4,0,1,0,1,1,1,0,1,1,5,4,0,5,3,4,0,0,1,1,2,4,5,4,5,5,4,4,5,4,5,5,4,3,4,5,5,4,4,4,5,5,5,5,4,1. Notes are available when needed  2. E-learning has been clearly labeled and sectioned to make it easier for the students to understand,N/A,4.5455,3.5,4.5455,9,6,1,64,13.32,8,11.17,5.17,47.67,5,4.85,4.85,5,5,98.8,80.26,52,0,18.52,27.23,13,40.23,D
C,1,2000,0,0,1,3,4,5,5,3,1,3,5,5,1,1,0,4,4,1,2,2,1,1,2,1,0,0,0,0,0,2,1,2,1,1,5,4,3,3,1,3,1,0,1,0,0,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,3,5,5,5,5,5,1. The lecturer explains the concepts very well.2. The lab manuals really help in the understanding of the concepts,We could probably be allowed to use Python instead of R specifically. ,5,4.5,4.4545,9,8,0,68,10.33,14,16.75,7.67,61.7,5,5,4.85,5,5,99.4,61.84,56,0,7.41,27.5,33,60.5,B
C,0,2001,0,0,1,3,4,4,3,5,5,2,4,4,1,1,0,4,3,1,3,2,4,4,3,3,0,0,0,1,0,1,0,3,1,1,5,4,0,4,4,5,1,0,0,1,2,5,5,5,5,5,4,4,5,5,5,5,5,3,5,5,5,4,4,4,5,5,5,5,4,the content is well explained and hence enjoyable to learn  quick and relevant feedback,I have no complaints,4.8182,4,4.6364,9,8,2.8,79.2,17.48,10,15,7.33,63.05,5,5,4.85,5,5,99.4,78.94,62,0,7.41,30.56,31,61.56,B
C,0,2002,0,0,1,4,4,4,4,4,4,4,4,4,3,3,0,2,4,2,3,3,2,3,1,2,0,0,0,1,1,1,1,3,0,1,4,4,3,4,4,4,0,0,0,1,2,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,5,4,5,5,4,The practical focus  The use of data to create positive benefits in the business environment,Teaching how to actually come up with an algorithm using R,4.9091,4,4.5455,10,9.2,0,76.8,30.17,11,20.75,9,89.77,5,5,5,5,5,100,88.15,64,0,7.41,33.13,45,78.13,A
